55255
4
engrpm,800,1800,100,10;EGRkgph,0,200,20,11;MSPhum,40,80,4,12;EngTq,0,1400,140,13
Iteration,Year,Month,Day,Latitude,Longitude,RelativeError,NOxTheoryppm,AbsError,pass,engrpm,EGRkgph,MSPhum,EngTq
3522059153,2015,8,10,44.946,-93.104,9.05582,678.567,6.65871,1,4,3,6,9
3522059154,2015,8,10,44.9461,-93.104,14.7308,630.619,78.8405,1,5,4,6,10
3522059155,2015,8,10,44.9462,-93.104,10.0347,608.619,123.719,1,6,6,6,10
3522059156,2015,8,10,44.9463,-93.1041,1.91709,583.046,167.77,1,6,9,6,9
3522059157,2015,8,10,44.9464,-93.1041,9.00261,409.94,116.358,1,7,9,6,7
3522059158,2015,8,10,44.9465,-93.1041,13.1147,406.146,154.932,1,7,9,6,7
3522059159,2015,8,10,44.9466,-93.1041,0.999515,391.535,147.251,1,7,10,6,5
3522059160,2015,8,10,44.9467,-93.1042,5.1008,369.4,133.724,1,7,8,6,5
3522059161,2015,8,10,44.9468,-93.1042,8.50962,582.869,321.026,1,5,5,6,6
3522059162,2015,8,10,44.9469,-93.1042,37.9108,698.004,278.281,1,3,5,6,7
3522059163,2015,8,10,44.947,-93.1042,30.1094,762.286,316.953,1,6,5,6,8
3522059164,2015,8,10,44.9471,-93.1043,21.9651,407.546,15.7349,1,7,6,6,8
3522059165,2015,8,10,44.9472,-93.1043,12.5039,392.569,57.01,1,7,8,6,7
3522059166,2015,8,10,44.9473,-93.1043,1.81313,383.953,114.57,1,7,8,6,6
3522059167,2015,8,10,44.9474,-93.1044,4.75644,469.826,214.122,1,7,8,6,8
3522059168,2015,8,10,44.9475,-93.1044,0.814128,416.643,149.279,1,7,9,6,9
3522059169,2015,8,10,44.9476,-93.1045,9.45526,467.409,207.351,1,7,11,6,8
3522059170,2015,8,10,44.9476,-93.1046,7.68185,457.383,219.043,1,7,12,6,8
3522059171,2015,8,10,44.9477,-93.1046,11.178,453.01,230.094,1,7,12,6,8
3522059172,2015,8,10,44.9478,-93.1047,11.6378,438.782,223.079,1,7,12,6,8
3522059173,2015,8,10,44.9479,-93.1048,14.196,642.492,428.874,1,8,12,6,7
3522059174,2015,8,10,44.948,-93.1049,15.1997,606.229,395.91,1,8,12,6,7
3522059175,2015,8,10,44.948,-93.105,13.2718,448.382,242.634,1,7,11,6,7
3522059176,2015,8,10,44.9481,-93.1051,12.2288,471.027,261.207,1,7,11,6,8
3522059177,2015,8,10,44.9482,-93.1052,8.57489,452.13,241.859,1,7,11,6,8
3522059178,2015,8,10,44.9482,-93.1054,7.51358,678.56,464.66,1,8,12,6,8
3522059179,2015,8,10,44.9483,-93.1055,6.0179,676.139,460.124,1,8,12,6,8
3522059180,2015,8,10,44.9483,-93.1056,7.00754,582.197,359.272,1,8,10,6,7
3522059181,2015,8,10,44.9484,-93.1057,10.8981,406.412,174.438,1,8,8,6,4
3522059182,2015,8,10,44.9485,-93.1058,11.7157,310.524,64.8391,1,7,0,6,2
3522059183,2015,8,10,44.9485,-93.106,35.6633,174.587,91.5469,1,6,3,6,0
3522059184,2015,8,10,44.9486,-93.1061,36.2348,226.256,29.8485,1,6,5,6,1
3522059185,2015,8,10,44.9486,-93.1062,48.6873,155.349,19.619,1,5,4,6,0
3522059202,2015,8,10,44.949,-93.1069,2.94151,574.885,398.203,1,1,0,6,4
3522059203,2015,8,10,44.949,-93.1069,40.1344,650.027,87.8403,1,5,0,6,5
3522059204,2015,8,10,44.949,-93.1069,22.6727,676.56,98.2631,1,4,3,6,6
3522059205,2015,8,10,44.949,-93.107,11.1722,503.011,2.811,1,5,4,6,7
3522059206,2015,8,10,44.949,-93.107,12.6038,518.23,122.576,1,6,8,6,5
3522059207,2015,8,10,44.949,-93.107,22.5042,454.662,80.154,1,6,7,6,5
3522059208,2015,8,10,44.9491,-93.1071,21.9445,397.054,18.6091,1,3,0,6,2
3522059209,2015,8,10,44.9491,-93.1072,15.7247,421.285,50.6924,1,3,2,6,2
3522059210,2015,8,10,44.9491,-93.1072,19.477,432.954,67.3891,1,3,3,6,2
3522059211,2015,8,10,44.9491,-93.1073,14.9712,405.807,101.256,1,3,3,6,2
3522059212,2015,8,10,44.9491,-93.1074,29.2404,624.479,355.561,1,2,0,6,5
3522059213,2015,8,10,44.949,-93.1075,86.9643,663.702,400.116,1,2,0,6,6
3522059214,2015,8,10,44.949,-93.1075,15.9909,603.641,44.9098,1,3,2,6,5
3522059215,2015,8,10,44.949,-93.1076,4.57464,485.826,25.1586,1,4,2,6,3
3522059216,2015,8,10,44.9489,-93.1076,3.40806,69.0257,282.725,1,3,1,6,0
3522059227,2015,8,10,44.9486,-93.1078,72.9044,540.7,363.339,1,0,4,6,3
3522059228,2015,8,10,44.9486,-93.1078,9.96436,622.68,254.88,1,4,0,6,5
3522059229,2015,8,10,44.9486,-93.1078,32.1042,610.017,23.2351,1,6,3,6,5
3522059230,2015,8,10,44.9486,-93.1078,3.41065,654.663,183.731,1,4,2,6,7
3522059231,2015,8,10,44.9486,-93.1078,8.49457,701.625,225.825,1,7,5,6,8
3522059232,2015,8,10,44.9486,-93.1078,23.2674,691.599,365.215,1,4,6,6,8
3522059233,2015,8,10,44.9485,-93.1079,3.66484,690.08,299.651,1,4,5,6,9
3522059234,2015,8,10,44.9485,-93.1079,23.6366,692.924,185.888,1,3,6,6,8
3522059235,2015,8,10,44.9484,-93.1079,24.4855,701.879,112.857,1,3,3,6,9
3522059236,2015,8,10,44.9483,-93.108,17.7763,664.294,33.0331,1,4,4,6,10
3522059237,2015,8,10,44.9483,-93.108,7.56686,531.698,24.0705,1,5,6,6,8
3522059238,2015,8,10,44.9482,-93.108,2.82636,513.861,97.4431,1,6,7,6,7
3522059239,2015,8,10,44.9481,-93.1081,11.3955,515.773,124.373,1,6,7,6,6
3522059240,2015,8,10,44.948,-93.1081,8.18257,654.239,283.221,1,3,5,6,6
3522059241,2015,8,10,44.9479,-93.1081,35.4183,659.156,103.842,1,3,3,6,6
3522059242,2015,8,10,44.9478,-93.1081,18.9677,555.932,94.573,1,3,3,6,5
3522059243,2015,8,10,44.9477,-93.1081,12.9064,627.548,164.557,1,3,3,6,6
3522059244,2015,8,10,44.9476,-93.1081,11.6244,671.977,156.013,1,3,3,6,7
3522059245,2015,8,10,44.9475,-93.1081,18.2991,647.462,80.2396,1,3,3,6,6
3522059246,2015,8,10,44.9474,-93.1081,12.021,520.513,19.736,1,3,2,6,3
3522059247,2015,8,10,44.9472,-93.1081,3.9427,420.523,32.0438,1,3,2,6,2
3522059248,2015,8,10,44.9471,-93.1081,11.6199,281.658,61.9396,1,3,4,6,0
3522059254,2015,8,10,44.9467,-93.1082,114.391,350.814,237.817,1,3,3,6,3
3522059255,2015,8,10,44.9466,-93.1082,30.2292,465.824,112.838,1,3,2,6,3
3522059256,2015,8,10,44.9466,-93.1082,26.7279,443.033,82.4869,1,2,2,6,2
3522059257,2015,8,10,44.9466,-93.1083,23.1567,443.987,92.9799,1,1,3,6,4
3522059258,2015,8,10,44.9465,-93.1083,9.13514,669.545,257.92,1,5,2,6,6
3522059259,2015,8,10,44.9465,-93.1084,18.871,634.269,174.213,1,6,5,6,6
3522059260,2015,8,10,44.9465,-93.1084,2.81697,470.17,113.419,1,5,3,6,4
3522059261,2015,8,10,44.9465,-93.1085,7.89565,206.934,125.678,1,1,0,6,0
3522059272,2015,8,10,44.9466,-93.1087,191.532,568.212,437.463,1,0,3,6,4
3522059273,2015,8,10,44.9466,-93.1087,12.1274,657.692,250.456,1,1,1,6,3
3522059274,2015,8,10,44.9466,-93.1087,18.5615,601.909,107.865,1,4,0,6,5
3522059275,2015,8,10,44.9466,-93.1087,3.05828,624.88,63.7216,1,6,3,6,6
3522059276,2015,8,10,44.9466,-93.1087,38.5761,725.025,318.547,1,5,3,6,8
3522059277,2015,8,10,44.9466,-93.1088,10.6263,703.908,316.553,1,8,7,6,9
3522059278,2015,8,10,44.9466,-93.1088,2.83389,653.991,371.02,1,10,12,6,8
3522059279,2015,8,10,44.9466,-93.1089,33.3455,563.436,358.239,1,5,7,6,8
3522059280,2015,8,10,44.9466,-93.109,13.5929,602.774,242.046,1,5,5,6,9
3522059281,2015,8,10,44.9466,-93.1091,15.7798,528.198,166.733,1,6,7,6,6
3522059282,2015,8,10,44.9466,-93.1092,11.993,546.682,198.297,1,5,6,6,6
3522059283,2015,8,10,44.9466,-93.1093,11.0547,598.117,191.202,1,4,3,6,7
3522059284,2015,8,10,44.9466,-93.1094,19.4575,602.785,118.158,1,4,4,6,7
